from,to,end_of_month,average_rate,number_of_days
USD,EUR,2010.07.31,0.7833751237,31
USD,EUR,2010.08.31,0.7752140552,31
USD,EUR,2010.09.30,0.7672066447,30
USD,EUR,2010.10.31,0.7198134641,31
USD,EUR,2010.11.30,0.7313272484,30
USD,EUR,2010.12.31,0.7569792606,31
USD,EUR,2011.01.31,0.7488139691,31
USD,EUR,2011.02.28,0.7324301823,28
USD,EUR,2011.03.31,0.7139084985,31
USD,EUR,2011.04.30,0.6920439984,30
USD,EUR,2011.05.31,0.6981197415,31
USD,EUR,2011.06.30,0.6949798567,30
USD,EUR,2011.07.31,0.6984416412,31
USD,EUR,2011.08.31,0.6974748114,31
USD,EUR,2011.09.30,0.7258408326,30
USD,EUR,2011.10.31,0.7297697966,31
USD,EUR,2011.11.30,0.7370671162,30
USD,EUR,2011.12.31,0.7591689464,31
USD,EUR,2012.01.31,0.7754295767,31
USD,EUR,2012.02.29,0.7559509295,29
USD,EUR,2012.03.31,0.7568411761,31
USD,EUR,2012.04.30,0.7592987973,30
USD,EUR,2012.05.31,0.7802584193,31
USD,EUR,2012.06.30,0.7971715247,30
USD,EUR,2012.07.31,0.8129577233,31
USD,EUR,2012.08.31,0.8071777738,31
USD,EUR,2012.09.30,0.7776562442,30
USD,EUR,2012.10.31,0.7711094629,31
USD,EUR,2012.11.30,0.7794303822,30
USD,EUR,2012.12.31,0.76284462,31
USD,EUR,2013.01.31,0.7527275884,31
USD,EUR,2013.02.28,0.7478872538,28
USD,EUR,2013.03.31,0.7712324122,31
USD,EUR,2013.04.30,0.768406022,30
USD,EUR,2013.05.31,0.7704270378,31
USD,EUR,2013.06.30,0.758962404,30
USD,EUR,2013.07.31,0.7643869591,31
USD,EUR,2013.08.31,0.7506702295,31
USD,EUR,2013.09.30,0.7490128295,30
USD,EUR,2013.10.31,0.7332042282,31
USD,EUR,2013.11.30,0.7411226819,30
USD,EUR,2013.12.31,0.730074029,31
USD,EUR,2014.01.31,0.7338026086,31
USD,EUR,2014.02.28,0.7327344269,28
USD,EUR,2014.03.31,0.7233139352,31
USD,EUR,2014.04.30,0.7243284104,30
USD,EUR,2014.05.31,0.7278381084,31
USD,EUR,2014.06.30,0.7352783039,30
USD,EUR,2014.07.31,0.7381802281,31
USD,EUR,2014.08.31,0.7506435402,31
USD,EUR,2014.09.30,0.7752395323,30
USD,EUR,2014.10.31,0.7891440968,31
USD,EUR,2014.11.30,0.8017414765,30
USD,EUR,2014.12.31,0.8121394883,31
USD,EUR,2015.01.31,0.8592015502,31
USD,EUR,2015.02.28,0.8812941242,28
USD,EUR,2015.03.31,0.9232702102,31
USD,EUR,2015.04.30,0.9262186741,30
USD,EUR,2015.05.31,0.8957019236,31
USD,EUR,2015.06.30,0.8916498725,30
USD,EUR,2015.07.31,0.9089009837,31
USD,EUR,2015.08.31,0.8985716098,31
USD,EUR,2015.09.30,0.8898503105,30
USD,EUR,2015.10.31,0.8912200068,31
USD,EUR,2015.11.30,0.9311968689,30
USD,EUR,2015.12.31,0.9179263743,31
USD,EUR,2016.01.31,0.9203601747,31
USD,EUR,2016.02.29,0.9006941789,29
USD,EUR,2016.03.31,0.8989123793,31
USD,EUR,2016.04.30,0.8819726378,30
USD,EUR,2016.05.31,0.8847660499,31
USD,EUR,2016.06.30,0.8893645566,30
USD,EUR,2016.07.31,0.9037702223,31
USD,EUR,2016.08.31,0.8927995045,31
USD,EUR,2016.09.30,0.8923498505,30
USD,EUR,2016.10.31,0.9057355047,31
USD,EUR,2016.11.30,0.9262811229,30
USD,EUR,2016.12.31,0.9490339872,31
USD,EUR,2017.01.31,0.9414040838,31
USD,EUR,2017.02.28,0.9389799115,28
USD,EUR,2017.03.31,0.93524486,31
USD,EUR,2017.04.30,0.9340072379,30
USD,EUR,2017.05.31,0.9050536638,31
USD,EUR,2017.06.30,0.8909475242,30
USD,EUR,2017.07.31,0.8679357562,31
USD,EUR,2017.08.31,0.846221567,31
USD,EUR,2017.09.30,0.839150086,30
USD,EUR,2017.10.31,0.8505965568,31
USD,EUR,2017.11.30,0.8521346774,30
USD,EUR,2017.12.31,0.8446793264,31
USD,EUR,2018.01.31,0.8206282442,31
USD,EUR,2018.02.28,0.8094015765,28
USD,EUR,2018.03.31,0.8110745143,31
USD,EUR,2018.04.30,0.8142149282,30
USD,EUR,2018.05.31,0.845166168,31
